contrast,midtime,estimate,lower.HPD,upper.HPD
absent effect,0,0.1347634743972828,-0.025822862944445756,0.3028410818901905
present effect,0,-0.1347634743972828,-0.3028410818901905,0.025822862944445756
absent effect,1,0.13314375320657168,-0.027062372249121086,0.2987903421814999
present effect,1,-0.13314375320657168,-0.2987903421814999,0.027062372249121086
absent effect,2,0.13166159271969552,-0.03365860516975908,0.28890328102601914
present effect,2,-0.13166159271969552,-0.28890328102601914,0.03365860516975908
absent effect,3,0.1300235111514415,-0.03257276325253708,0.2872700149184402
present effect,3,-0.1300235111514415,-0.2872700149184402,0.03257276325253708
absent effect,4,0.12845646367542352,-0.03454650356093845,0.28208607876386593
present effect,4,-0.12845646367542352,-0.28208607876386593,0.03454650356093845
absent effect,5,0.12688329666564954,-0.03474389877396242,0.27908484919296417
present effect,5,-0.12688329666564954,-0.27908484919296417,0.03474389877396242
absent effect,6,0.1252686855471227,-0.03457009386714528,0.27680722588130124
present effect,6,-0.1252686855471227,-0.27680722588130124,0.03457009386714528
absent effect,7,0.12357089779459704,-0.03320313322682923,0.2755626078554701
present effect,7,-0.12357089779459704,-0.2755626078554701,0.03320313322682923
absent effect,8,0.1219707626118641,-0.033977020717970666,0.2723729551600229
present effect,8,-0.1219707626118641,-0.2723729551600229,0.033977020717970666
absent effect,9,0.12033202644474388,-0.032325181720728256,0.27148310571789536
present effect,9,-0.12033202644474388,-0.27148310571789536,0.032325181720728256
absent effect,10,0.11876459071377976,-0.03151227868405479,0.26977872638229994
present effect,10,-0.11876459071377976,-0.26977872638229994,0.03151227868405479
absent effect,11,0.11702622701596402,-0.033722483821391064,0.26544001844733106
present effect,11,-0.11702622701596402,-0.26544001844733106,0.033722483821391064
absent effect,12,0.1153158102410318,-0.03420761313740213,0.262871395370609
present effect,12,-0.1153158102410318,-0.262871395370609,0.03420761313740213
absent effect,13,0.1135391476464005,-0.03352882103892507,0.2619085812296997
present effect,13,-0.1135391476464005,-0.2619085812296997,0.03352882103892507
absent effect,14,0.11204309378669808,-0.032902141898190004,0.26037214426141697
present effect,14,-0.11204309378669808,-0.26037214426141697,0.032902141898190004
absent effect,15,0.11031606212992248,-0.03429389061022204,0.25707203405885637
present effect,15,-0.11031606212992248,-0.25707203405885637,0.03429389061022204
absent effect,16,0.1087596036092949,-0.03309646292956275,0.2563963507743411
present effect,16,-0.1087596036092949,-0.2563963507743411,0.03309646292956275
absent effect,17,0.10725607905128337,-0.03485498301940416,0.25336392516818884
present effect,17,-0.10725607905128337,-0.25336392516818884,0.03485498301940416
absent effect,18,0.1056166711585408,-0.03665984596094153,0.2499461269694774
present effect,18,-0.1056166711585408,-0.2499461269694774,0.03665984596094153
absent effect,19,0.10398609875278962,-0.03834407268671873,0.24749813825500794
present effect,19,-0.10398609875278962,-0.24749813825500794,0.03834407268671873
absent effect,20,0.10244662838207585,-0.04062069008961694,0.2441151032953398
present effect,20,-0.10244662838207585,-0.2441151032953398,0.04062069008961694
absent effect,21,0.1006785745223634,-0.04254686380745558,0.24073079127146615
present effect,21,-0.1006785745223634,-0.24073079127146615,0.04254686380745558
absent effect,22,0.09904822099229632,-0.04330181465483099,0.23825455759201156
present effect,22,-0.09904822099229632,-0.23825455759201156,0.04330181465483099
absent effect,23,0.09719415536697461,-0.043983472621914654,0.2361337658207632
present effect,23,-0.09719415536697461,-0.2361337658207632,0.043983472621914654
absent effect,24,0.09554706056615098,-0.04524250644611255,0.23442410048743043
present effect,24,-0.09554706056615098,-0.23442410048743043,0.04524250644611255
absent effect,25,0.09397498899469853,-0.04725658836139589,0.2315600232228433
present effect,25,-0.09397498899469853,-0.2315600232228433,0.04725658836139589
absent effect,26,0.09224226304374453,-0.048778918697340946,0.22967702157917996
present effect,26,-0.09224226304374453,-0.22967702157917996,0.048778918697340946
absent effect,27,0.09068810120987503,-0.04905800594148739,0.22940942119665467
present effect,27,-0.09068810120987503,-0.22940942119665467,0.04905800594148739
absent effect,28,0.08902624134880925,-0.0499816368450753,0.2282391873263551
present effect,28,-0.08902624134880925,-0.2282391873263551,0.0499816368450753
absent effect,29,0.0874573689115401,-0.055024234554970276,0.2232018786538536
present effect,29,-0.0874573689115401,-0.2232018786538536,0.055024234554970276
absent effect,30,0.08570158463007024,-0.056605715180392785,0.22189095740984813
present effect,30,-0.08570158463007024,-0.22189095740984813,0.056605715180392785
absent effect,31,0.08417348488934853,-0.057448035232521066,0.22068128653802568
present effect,31,-0.08417348488934853,-0.22068128653802568,0.057448035232521066
absent effect,32,0.08261460667888659,-0.05864707581000275,0.21954885922779385
present effect,32,-0.08261460667888659,-0.21954885922779385,0.05864707581000275
absent effect,33,0.08102913400429006,-0.061832153770233475,0.2164150708387037
present effect,33,-0.08102913400429006,-0.2164150708387037,0.061832153770233475
absent effect,34,0.07938043629349555,-0.0636418816150338,0.21475101746927205
present effect,34,-0.07938043629349555,-0.21475101746927205,0.0636418816150338
absent effect,35,0.07785340829770207,-0.06150571705457172,0.2171812625259974
present effect,35,-0.07785340829770207,-0.2171812625259974,0.06150571705457172
absent effect,36,0.07635781210508122,-0.06487089196841579,0.2141720147333963
present effect,36,-0.07635781210508122,-0.2141720147333963,0.06487089196841579
absent effect,37,0.07486022415344804,-0.06268418047435365,0.2168049590307572
present effect,37,-0.07486022415344804,-0.2168049590307572,0.06268418047435365
absent effect,38,0.07331575627518522,-0.0660472164560286,0.21371149746263762
present effect,38,-0.07331575627518522,-0.21371149746263762,0.0660472164560286
absent effect,39,0.0717476251524165,-0.0678068030676616,0.21275370869070076
present effect,39,-0.0717476251524165,-0.21275370869070076,0.0678068030676616
absent effect,40,0.07011944985311297,-0.06973277124670213,0.21188470450880822
present effect,40,-0.07011944985311297,-0.21188470450880822,0.06973277124670213
absent effect,41,0.06858491659392857,-0.06974057547107035,0.2126857323755526
present effect,41,-0.06858491659392857,-0.2126857323755526,0.06974057547107035
absent effect,42,0.06704684279278023,-0.07321188975553689,0.21063401535048387
present effect,42,-0.06704684279278023,-0.21063401535048387,0.07321188975553689
absent effect,43,0.06550066759187884,-0.07730283156124841,0.20746943761175488
present effect,43,-0.06550066759187884,-0.20746943761175488,0.07730283156124841
absent effect,44,0.06400028189184659,-0.08112408021594539,0.20449088500607526
present effect,44,-0.06400028189184659,-0.20449088500607526,0.08112408021594539
absent effect,45,0.06257179445638614,-0.0828311572866514,0.20367105082088294
present effect,45,-0.06257179445638614,-0.20367105082088294,0.0828311572866514
absent effect,46,0.06110421790290535,-0.0862016141644217,0.20151906859051055
present effect,46,-0.06110421790290535,-0.20151906859051055,0.0862016141644217
absent effect,47,0.05964956954352614,-0.08917989550621533,0.19929319340473128
present effect,47,-0.05964956954352614,-0.19929319340473128,0.08917989550621533
absent effect,48,0.05819299375231566,-0.08972986418789099,0.19951652205396475
present effect,48,-0.05819299375231566,-0.19951652205396475,0.08972986418789099
absent effect,49,0.05683720093295026,-0.09031136892050287,0.20004529548954822
present effect,49,-0.05683720093295026,-0.20004529548954822,0.09031136892050287
absent effect,50,0.055327277727593716,-0.09420338282629218,0.19741113456757414
present effect,50,-0.055327277727593716,-0.19741113456757414,0.09420338282629218
absent effect,51,0.053799210032507046,-0.09502089123029903,0.19763662235165178
present effect,51,-0.053799210032507046,-0.19763662235165178,0.09502089123029903
absent effect,52,0.052467695563653785,-0.0954072784252885,0.19812890788080006
present effect,52,-0.052467695563653785,-0.19812890788080006,0.0954072784252885
absent effect,53,0.051061028252223306,-0.098680195729978007,0.19635794555933894
present effect,53,-0.051061028252223306,-0.19635794555933894,0.098680195729978007
absent effect,54,0.049477976253604054,-0.1015049686615785,0.19476554434687698
present effect,54,-0.049477976253604054,-0.19476554434687698,0.1015049686615785
absent effect,55,0.048125586580206214,-0.1040518044888617,0.19367618968494982
present effect,55,-0.048125586580206214,-0.19367618968494982,0.1040518044888617
absent effect,56,0.046778596526766116,-0.10313081215820144,0.19553916516674155
present effect,56,-0.046778596526766116,-0.19553916516674155,0.10313081215820144
absent effect,57,0.045436198393058645,-0.10284688585167255,0.19711285779084223
present effect,57,-0.045436198393058645,-0.19711285779084223,0.10284688585167255
absent effect,58,0.04406660025482924,-0.10729062335564485,0.19409996443540417
present effect,58,-0.04406660025482924,-0.19409996443540417,0.10729062335564485
absent effect,59,0.04273710748930309,-0.1115966594611177,0.19055349826919415
present effect,59,-0.04273710748930309,-0.19055349826919415,0.1115966594611177
absent effect,60,0.041325907642471946,-0.11432078526206202,0.18886290501326303
present effect,60,-0.041325907642471946,-0.18886290501326303,0.11432078526206202
absent effect,61,0.04003017891082884,-0.1142198384561662,0.19003515495857964
present effect,61,-0.04003017891082884,-0.19003515495857964,0.1142198384561662
absent effect,62,0.0388430555459449,-0.1169224002353355,0.1884988255226641
present effect,62,-0.0388430555459449,-0.1884988255226641,0.1169224002353355
absent effect,63,0.037547584929754976,-0.11866760969424447,0.18781851959175971
present effect,63,-0.037547584929754976,-0.18781851959175971,0.11866760969424447
absent effect,64,0.0362527268265075,-0.1196818012958864,0.1877385547703927
present effect,64,-0.0362527268265075,-0.1877385547703927,0.1196818012958864
absent effect,65,0.03518298781254503,-0.12134922808840748,0.18718421871156224
present effect,65,-0.03518298781254503,-0.18718421871156224,0.12134922808840748
absent effect,66,0.03395123598567537,-0.1231208721697801,0.18665578134220823
present effect,66,-0.03395123598567537,-0.18665578134220823,0.1231208721697801
absent effect,67,0.032805547046809644,-0.122866669815945,0.18803205700262282
present effect,67,-0.032805547046809644,-0.18803205700262282,0.122866669815945
absent effect,68,0.03149289341622413,-0.1262995432024915,0.18586908342381758
present effect,68,-0.03149289341622413,-0.18586908342381758,0.1262995432024915
absent effect,69,0.030257219163207755,-0.12635653713881254,0.18726593707937644
present effect,69,-0.030257219163207755,-0.18726593707937644,0.12635653713881254
absent effect,70,0.02916248538177347,-0.12833462429820372,0.18641582178796706
present effect,70,-0.02916248538177347,-0.18641582178796706,0.12833462429820372
absent effect,71,0.028187583446638728,-0.12963920367422363,0.18628562032169488
present effect,71,-0.028187583446638728,-0.18628562032169488,0.12963920367422363
absent effect,72,0.027016528996122502,-0.12574784165463915,0.191404982496536
present effect,72,-0.027016528996122502,-0.191404982496536,0.12574784165463915
absent effect,73,0.025938871155344212,-0.1303953256119287,0.18769803289943005
present effect,73,-0.025938871155344212,-0.18769803289943005,0.1303953256119287
absent effect,74,0.024961998178769186,-0.12990804367757613,0.1894810926802309
present effect,74,-0.024961998178769186,-0.1894810926802309,0.12990804367757613
absent effect,75,0.023807146366735532,-0.13357605298134403,0.18680315985817683
present effect,75,-0.023807146366735532,-0.18680315985817683,0.13357605298134403
absent effect,76,0.022756482571406993,-0.13539695541170305,0.18552020695887916
present effect,76,-0.022756482571406993,-0.18552020695887916,0.13539695541170305
absent effect,77,0.02182969630940868,-0.13681580041417946,0.18532572283267953
present effect,77,-0.02182969630940868,-0.18532572283267953,0.13681580041417946
absent effect,78,0.020922985262333226,-0.13778999147690874,0.18535135702966185
present effect,78,-0.020922985262333226,-0.18535135702966185,0.13778999147690874
absent effect,79,0.020022661646601384,-0.14013897530971006,0.18392415726029548
present effect,79,-0.020022661646601384,-0.18392415726029548,0.14013897530971006
absent effect,80,0.018986735735894877,-0.1429525568325008,0.18165629230280253
present effect,80,-0.018986735735894877,-0.18165629230280253,0.1429525568325008
absent effect,81,0.018074882207740568,-0.1501062464644338,0.1755128972502475
present effect,81,-0.018074882207740568,-0.1755128972502475,0.1501062464644338
absent effect,82,0.017263913893799172,-0.14975182137527548,0.17644240188713428
present effect,82,-0.017263913893799172,-0.17644240188713428,0.14975182137527548
absent effect,83,0.016641179669418138,-0.1499562294341477,0.17708062817627984
present effect,83,-0.016641179669418138,-0.17708062817627984,0.1499562294341477
absent effect,84,0.01570600280828953,-0.15179049489054156,0.17594978338608777
present effect,84,-0.01570600280828953,-0.17594978338608777,0.15179049489054156
absent effect,85,0.01499752157877679,-0.15250335728650002,0.175961565332984
present effect,85,-0.01499752157877679,-0.175961565332984,0.15250335728650002
absent effect,86,0.014171206236003046,-0.15381092688770034,0.17618295670014317
present effect,86,-0.014171206236003046,-0.17618295670014317,0.15381092688770034
absent effect,87,0.013490513972831589,-0.1549870244741172,0.1763348072480293
present effect,87,-0.013490513972831589,-0.1763348072480293,0.1549870244741172
absent effect,88,0.012772522821927798,-0.15743071654860397,0.17490417604835445
present effect,88,-0.012772522821927798,-0.17490417604835445,0.15743071654860397
absent effect,89,0.012130533114931726,-0.15930337801967162,0.17416970540171411
present effect,89,-0.012130533114931726,-0.17416970540171411,0.15930337801967162
absent effect,90,0.011582957061168322,-0.16219648657794844,0.1723283172850679
present effect,90,-0.011582957061168322,-0.1723283172850679,0.16219648657794844
absent effect,91,0.010873155190588311,-0.16254396393227874,0.17273227060195592
present effect,91,-0.010873155190588311,-0.17273227060195592,0.16254396393227874
absent effect,92,0.01037614875342505,-0.163682013392759,0.1725195712879003
present effect,92,-0.01037614875342505,-0.1725195712879003,0.163682013392759
absent effect,93,0.009786931818664486,-0.16476782582469068,0.17234036311298054
present effect,93,-0.009786931818664486,-0.17234036311298054,0.16476782582469068
absent effect,94,0.009299947706554464,-0.16620247890816864,0.17180481106845016
present effect,94,-0.009299947706554464,-0.17180481106845016,0.16620247890816864
absent effect,95,0.008926915852723753,-0.1598122532626336,0.17890260546933207
present effect,95,-0.008926915852723753,-0.17890260546933207,0.1598122532626336
absent effect,96,0.008641281637505174,-0.16285772684812733,0.17682948813759766
present effect,96,-0.008641281637505174,-0.17682948813759766,0.16285772684812733
absent effect,97,0.008158519490963093,-0.16599715539037635,0.17425923705707638
present effect,97,-0.008158519490963093,-0.17425923705707638,0.16599715539037635
absent effect,98,0.0077881694753066805,-0.16839873356134127,0.17261881817736524
present effect,98,-0.0077881694753066805,-0.17261881817736524,0.16839873356134127
absent effect,99,0.007242708603762572,-0.17006463021521379,0.1722994073200293
present effect,99,-0.007242708603762572,-0.1722994073200293,0.17006463021521379
absent effect,100,0.006996018567348876,-0.16944562817380393,0.17404706395204472
present effect,100,-0.006996018567348876,-0.17404706395204472,0.16944562817380393
absent effect,101,0.006688812943441009,-0.17347767857237156,0.17108520137385208
present effect,101,-0.006688812943441009,-0.17108520137385208,0.17347767857237156
absent effect,102,0.006433326391809099,-0.17238082911304187,0.1734246584763722
present effect,102,-0.006433326391809099,-0.1734246584763722,0.17238082911304187
absent effect,103,0.006162786521969468,-0.1724683684895981,0.17390219550299824
present effect,103,-0.006162786521969468,-0.17390219550299824,0.1724683684895981
absent effect,104,0.005898663118118121,-0.1718917809742416,0.17546935910711026
present effect,104,-0.005898663118118121,-0.17546935910711026,0.1718917809742416
absent effect,105,0.005804038004598706,-0.1725653371480434,0.17598435213491154
present effect,105,-0.005804038004598706,-0.17598435213491154,0.1725653371480434
absent effect,106,0.005718900157431386,-0.1669524472259487,0.18237849076659796
present effect,106,-0.005718900157431386,-0.18237849076659796,0.1669524472259487
absent effect,107,0.005694489527404024,-0.16845586339215957,0.1817808695213798
present effect,107,-0.005694489527404024,-0.1817808695213798,0.16845586339215957
absent effect,108,0.0056410201367353505,-0.1698831901256225,0.1814694157863479
present effect,108,-0.0056410201367353505,-0.1814694157863479,0.1698831901256225
absent effect,109,0.005444584594978163,-0.17295043436481136,0.17925158783243286
present effect,109,-0.005444584594978163,-0.17925158783243286,0.17295043436481136
absent effect,110,0.005488891502489664,-0.17360177043699387,0.17939323046237562
present effect,110,-0.005488891502489664,-0.17939323046237562,0.17360177043699387
absent effect,111,0.005530050840073228,-0.1729471635156269,0.1809166565765547
present effect,111,-0.005530050840073228,-0.1809166565765547,0.1729471635156269
absent effect,112,0.00569193079269751,-0.17603501345927347,0.1790587264790282
present effect,112,-0.00569193079269751,-0.1790587264790282,0.17603501345927347
absent effect,113,0.005747059988277993,-0.17761325626196633,0.1789238951042897
present effect,113,-0.005747059988277993,-0.1789238951042897,0.17761325626196633
absent effect,114,0.005865807048744665,-0.17847068720509632,0.1794033118166245
present effect,114,-0.005865807048744665,-0.1794033118166245,0.17847068720509632
absent effect,115,0.005988410086828412,-0.17584422732783023,0.18345461367333213
present effect,115,-0.005988410086828412,-0.18345461367333213,0.17584422732783023
absent effect,116,0.006226911936934844,-0.17426441750542832,0.1862846833155023
present effect,116,-0.006226911936934844,-0.1862846833155023,0.17426441750542832
absent effect,117,0.006339775316225909,-0.17381793261138226,0.1877306195593271
present effect,117,-0.006339775316225909,-0.1877306195593271,0.17381793261138226
absent effect,118,0.006622160479724509,-0.177396633494763,0.18561580786630175
present effect,118,-0.006622160479724509,-0.18561580786630175,0.177396633494763
absent effect,119,0.006916959513866162,-0.1772139573107687,0.18685555828719444
present effect,119,-0.006916959513866162,-0.18685555828719444,0.1772139573107687
absent effect,120,0.007322800093995607,-0.17668017526428556,0.188435376477991
present effect,120,-0.007322800093995607,-0.188435376477991,0.17668017526428556
absent effect,121,0.007706653222736955,-0.175725568333818,0.19028168001548457
present effect,121,-0.007706653222736955,-0.19028168001548457,0.175725568333818
absent effect,122,0.008101801434535535,-0.17486377675371623,0.19186008849793418
present effect,122,-0.008101801434535535,-0.19186008849793418,0.17486377675371623
absent effect,123,0.008416351083316977,-0.17455040878604527,0.19340412908970667
present effect,123,-0.008416351083316977,-0.19340412908970667,0.17455040878604527
absent effect,124,0.0088402683017762,-0.17466086023613864,0.19387895781420636
present effect,124,-0.0088402683017762,-0.19387895781420636,0.17466086023613864
absent effect,125,0.009149975952666048,-0.17330885360118214,0.19599968387904226
present effect,125,-0.009149975952666048,-0.19599968387904226,0.17330885360118214
absent effect,126,0.009532461262371322,-0.1736944130493121,0.19650048323799307
present effect,126,-0.009532461262371322,-0.19650048323799307,0.1736944130493121
absent effect,127,0.010046226143214716,-0.17289474049312772,0.1983304035398784
present effect,127,-0.010046226143214716,-0.1983304035398784,0.17289474049312772
absent effect,128,0.010536344219586873,-0.17281870478792738,0.19966723172351383
present effect,128,-0.010536344219586873,-0.19966723172351383,0.17281870478792738
absent effect,129,0.01120761366436614,-0.1722939759131257,0.2014265986680389
present effect,129,-0.01120761366436614,-0.2014265986680389,0.1722939759131257
absent effect,130,0.01171349248109128,-0.17621469131801581,0.1990025331079886
present effect,130,-0.01171349248109128,-0.1990025331079886,0.17621469131801581
absent effect,131,0.012197252066128178,-0.17794873973150238,0.1983409023545362
present effect,131,-0.012197252066128178,-0.1983409023545362,0.17794873973150238
absent effect,132,0.012889574584472971,-0.17733061047297283,0.19995129649611515
present effect,132,-0.012889574584472971,-0.19995129649611515,0.17733061047297283
absent effect,133,0.01337367699890915,-0.17681582448484578,0.2016600477131481
present effect,133,-0.01337367699890915,-0.2016600477131481,0.17681582448484578
absent effect,134,0.014169373942132593,-0.16966371860865015,0.21000647982977982
present effect,134,-0.014169373942132593,-0.21000647982977982,0.16966371860865015
absent effect,135,0.014977995914174987,-0.16839207276817067,0.21220246379575136
present effect,135,-0.014977995914174987,-0.21220246379575136,0.16839207276817067
absent effect,136,0.015710619675344865,-0.16647831814505065,0.2149468242436918
present effect,136,-0.015710619675344865,-0.2149468242436918,0.16647831814505065
absent effect,137,0.016261616930199313,-0.16500680794183412,0.21775579239509202
present effect,137,-0.016261616930199313,-0.21775579239509202,0.16500680794183412
absent effect,138,0.0170637845913936,-0.16781159251846176,0.21582597899722164
present effect,138,-0.0170637845913936,-0.21582597899722164,0.16781159251846176
absent effect,139,0.01787267743756344,-0.17137709796631045,0.21296539380968238
present effect,139,-0.01787267743756344,-0.21296539380968238,0.17137709796631045
absent effect,140,0.018613259005642677,-0.17196349076735779,0.2127264206304611
present effect,140,-0.018613259005642677,-0.2127264206304611,0.17196349076735779
absent effect,141,0.019536500631378913,-0.1714042952801084,0.21348899125041035
present effect,141,-0.019536500631378913,-0.21348899125041035,0.1714042952801084
absent effect,142,0.020631995529109222,-0.1705097164128231,0.21498683697484097
present effect,142,-0.020631995529109222,-0.21498683697484097,0.1705097164128231
absent effect,143,0.02153199813882429,-0.17138790442628682,0.21470070673116573
present effect,143,-0.02153199813882429,-0.21470070673116573,0.17138790442628682
absent effect,144,0.022494876556822682,-0.1744281617521159,0.2124203721284295
present effect,144,-0.022494876556822682,-0.2124203721284295,0.1744281617521159
absent effect,145,0.02349752192991834,-0.17036753112992775,0.21642482385410308
present effect,145,-0.02349752192991834,-0.21642482385410308,0.17036753112992775
absent effect,146,0.02449707195903781,-0.16905683767565038,0.21849883279525656
present effect,146,-0.02449707195903781,-0.21849883279525656,0.16905683767565038
absent effect,147,0.02556491302624556,-0.16979228660548287,0.21861660812587502
present effect,147,-0.02556491302624556,-0.21861660812587502,0.16979228660548287
absent effect,148,0.026548343856904317,-0.17036064989830524,0.21938239914565327
present effect,148,-0.026548343856904317,-0.21938239914565327,0.17036064989830524
